Data,Dia_da_Semana,Produto,Preco,Quantidade
2025-02-26,Wednesday,Produto B,35.0,8
2025-02-26,Wednesday,Produto C,50.0,3
2025-02-26,Wednesday,Produto D,15.0,3
2025-02-27,Thursday,Produto A,20.0,5
2025-02-27,Thursday,Produto B,35.0,11
2025-02-27,Thursday,Produto C,50.0,7
2025-02-27,Thursday,Produto D,15.0,4
2025-02-28,Friday,Produto A,20.0,3
2025-02-28,Friday,Produto B,35.0,8
2025-02-28,Friday,Produto C,50.0,8
2025-02-28,Friday,Produto D,15.0,3
2025-03-01,Saturday,Produto A,20.0,11
2025-03-01,Saturday,Produto B,35.0,11
2025-03-01,Saturday,Produto C,50.0,6
2025-03-01,Saturday,Produto D,15.0,8
2025-03-02,Sunday,Produto A,20.0,9
2025-03-02,Sunday,Produto B,35.0,9
2025-03-02,Sunday,Produto C,50.0,13
2025-03-02,Sunday,Produto D,15.0,7
2025-03-03,Monday,Produto A,20.0,7
2025-03-03,Monday,Produto B,35.0,6
2025-03-03,Monday,Produto C,50.0,1
2025-03-03,Monday,Produto D,15.0,10
2025-03-04,Tuesday,Produto A,20.0,2
2025-03-04,Tuesday,Produto B,35.0,5
2025-03-04,Tuesday,Produto C,50.0,4
2025-03-04,Tuesday,Produto D,15.0,5
2025-03-05,Wednesday,Produto A,20.0,4
2025-03-05,Wednesday,Produto B,35.0,5
2025-03-05,Wednesday,Produto C,50.0,6
2025-03-05,Wednesday,Produto D,15.0,1
2025-03-06,Thursday,Produto A,20.0,3
2025-03-06,Thursday,Produto B,35.0,2
2025-03-06,Thursday,Produto C,50.0,5
2025-03-06,Thursday,Produto D,15.0,4
2025-03-07,Friday,Produto A,20.0,7
2025-03-07,Friday,Produto B,35.0,7
2025-03-07,Friday,Produto C,50.0,2
2025-03-07,Friday,Produto D,15.0,6
2025-03-08,Saturday,Produto A,20.0,10
2025-03-08,Saturday,Produto B,35.0,12
2025-03-08,Saturday,Produto C,50.0,11
2025-03-08,Saturday,Produto D,15.0,12
2025-03-09,Sunday,Produto A,20.0,10
2025-03-09,Sunday,Produto B,35.0,12
2025-03-09,Sunday,Produto C,50.0,9
2025-03-09,Sunday,Produto D,15.0,11
2025-03-10,Monday,Produto A,20.0,8
2025-03-10,Monday,Produto B,35.0,6
2025-03-10,Monday,Produto C,50.0,5
2025-03-10,Monday,Produto D,15.0,6
2025-03-11,Tuesday,Produto A,20.0,5
2025-03-11,Tuesday,Produto B,35.0,4
2025-03-11,Tuesday,Produto C,50.0,7
2025-03-11,Tuesday,Produto D,15.0,1
2025-03-12,Wednesday,Produto A,20.0,8
2025-03-12,Wednesday,Produto B,35.0,4
2025-03-12,Wednesday,Produto C,50.0,5
2025-03-12,Wednesday,Produto D,15.0,3
2025-03-13,Thursday,Produto A,20.0,7
2025-03-13,Thursday,Produto B,35.0,2
2025-03-13,Thursday,Produto C,50.0,5
2025-03-13,Thursday,Produto D,15.0,10
2025-03-14,Friday,Produto A,20.0,7
2025-03-14,Friday,Produto B,35.0,7
2025-03-14,Friday,Produto C,50.0,10
2025-03-14,Friday,Produto D,15.0,1
2025-03-15,Saturday,Produto A,20.0,8
2025-03-15,Saturday,Produto B,35.0,9
2025-03-15,Saturday,Produto C,50.0,9
2025-03-15,Saturday,Produto D,15.0,7
2025-03-16,Sunday,Produto A,20.0,7
2025-03-16,Sunday,Produto B,35.0,11
2025-03-16,Sunday,Produto C,50.0,11
2025-03-16,Sunday,Produto D,15.0,9
2025-03-17,Monday,Produto A,20.0,2
2025-03-17,Monday,Produto B,35.0,7
2025-03-17,Monday,Produto C,50.0,3
2025-03-17,Monday,Produto D,15.0,1
2025-03-18,Tuesday,Produto A,20.0,5
2025-03-18,Tuesday,Produto B,35.0,3
2025-03-18,Tuesday,Produto C,50.0,6
2025-03-18,Tuesday,Produto D,15.0,3
2025-03-19,Wednesday,Produto A,20.0,4
2025-03-19,Wednesday,Produto B,35.0,5
2025-03-19,Wednesday,Produto C,50.0,8
2025-03-19,Wednesday,Produto D,15.0,7
2025-03-20,Thursday,Produto A,20.0,5
2025-03-20,Thursday,Produto B,35.0,4
2025-03-20,Thursday,Produto C,50.0,6
2025-03-20,Thursday,Produto D,15.0,8
2025-03-21,Friday,Produto A,20.0,4
2025-03-21,Friday,Produto B,35.0,3
2025-03-21,Friday,Produto C,50.0,2
2025-03-21,Friday,Produto D,15.0,3
2025-03-22,Saturday,Produto A,20.0,10
2025-03-22,Saturday,Produto B,35.0,11
2025-03-22,Saturday,Produto C,50.0,8
2025-03-22,Saturday,Produto D,15.0,12
2025-03-23,Sunday,Produto A,20.0,12
2025-03-23,Sunday,Produto B,35.0,4
2025-03-23,Sunday,Produto C,50.0,18
2025-03-23,Sunday,Produto D,15.0,12
2025-03-24,Monday,Produto A,20.0,4
2025-03-24,Monday,Produto B,35.0,7
2025-03-24,Monday,Produto C,50.0,6
2025-03-24,Monday,Produto D,15.0,4
2025-03-25,Tuesday,Produto A,20.0,4
2025-03-25,Tuesday,Produto B,35.0,8
2025-03-25,Tuesday,Produto C,50.0,5
2025-03-25,Tuesday,Produto D,15.0,5
2025-03-26,Wednesday,Produto A,20.0,6
2025-03-26,Wednesday,Produto B,35.0,7
2025-03-26,Wednesday,Produto C,50.0,2
2025-03-26,Wednesday,Produto D,15.0,1
2025-03-27,Thursday,Produto A,20.0,7
2025-03-27,Thursday,Produto B,35.0,5
2025-03-27,Thursday,Produto C,50.0,4
2025-03-27,Thursday,Produto D,15.0,4
2025-03-28,Friday,Produto A,20.0,3
2025-03-28,Friday,Produto B,35.0,8
2025-03-28,Friday,Produto C,50.0,7
2025-03-28,Friday,Produto D,15.0,1
2025-03-29,Saturday,Produto A,20.0,10
2025-03-29,Saturday,Produto B,35.0,7
2025-03-29,Saturday,Produto C,50.0,6
2025-03-29,Saturday,Produto D,15.0,7
2025-03-30,Sunday,Produto A,20.0,10
2025-03-30,Sunday,Produto B,35.0,10
2025-03-30,Sunday,Produto C,50.0,14
2025-03-30,Sunday,Produto D,15.0,10
2025-03-31,Monday,Produto A,20.0,6
2025-03-31,Monday,Produto B,35.0,8
2025-03-31,Monday,Produto C,50.0,7
2025-03-31,Monday,Produto D,15.0,5
2025-04-01,Tuesday,Produto A,20.0,2
2025-04-01,Tuesday,Produto B,35.0,1
2025-04-01,Tuesday,Produto C,50.0,7
2025-04-01,Tuesday,Produto D,15.0,4
2025-04-02,Wednesday,Produto A,20.0,1
2025-04-02,Wednesday,Produto B,35.0,6
2025-04-02,Wednesday,Produto C,50.0,5
2025-04-02,Wednesday,Produto D,15.0,8
2025-04-03,Thursday,Produto A,20.0,5
2025-04-03,Thursday,Produto B,35.0,4
2025-04-03,Thursday,Produto C,50.0,10
2025-04-03,Thursday,Produto D,15.0,7
2025-04-04,Friday,Produto A,20.0,4
2025-04-04,Friday,Produto B,35.0,8
2025-04-04,Friday,Produto C,50.0,5
2025-04-04,Friday,Produto D,15.0,5
2025-04-05,Saturday,Produto A,20.0,7
2025-04-05,Saturday,Produto B,35.0,12
2025-04-05,Saturday,Produto C,50.0,7
2025-04-05,Saturday,Produto D,15.0,13
2025-04-06,Sunday,Produto A,20.0,9
2025-04-06,Sunday,Produto B,35.0,6
2025-04-06,Sunday,Produto C,50.0,9
2025-04-06,Sunday,Produto D,15.0,11
2025-04-07,Monday,Produto A,20.0,2
2025-04-07,Monday,Produto B,35.0,5
2025-04-07,Monday,Produto C,50.0,5
2025-04-07,Monday,Produto D,15.0,5
2025-04-08,Tuesday,Produto A,20.0,5
2025-04-08,Tuesday,Produto B,35.0,4
2025-04-08,Tuesday,Produto C,50.0,9
2025-04-08,Tuesday,Produto D,15.0,6
2025-04-09,Wednesday,Produto A,20.0,2
2025-04-09,Wednesday,Produto B,35.0,6
2025-04-09,Wednesday,Produto C,50.0,6
2025-04-09,Wednesday,Produto D,15.0,6
2025-04-10,Thursday,Produto A,20.0,5
2025-04-10,Thursday,Produto B,35.0,2
2025-04-10,Thursday,Produto C,50.0,5
2025-04-10,Thursday,Produto D,15.0,3
2025-04-11,Friday,Produto A,20.0,3
2025-04-11,Friday,Produto B,35.0,3
2025-04-11,Friday,Produto C,50.0,6
2025-04-11,Friday,Produto D,15.0,6
2025-04-12,Saturday,Produto A,20.0,8
2025-04-12,Saturday,Produto B,35.0,6
2025-04-12,Saturday,Produto C,50.0,11
2025-04-12,Saturday,Produto D,15.0,12
2025-04-13,Sunday,Produto A,20.0,12
2025-04-13,Sunday,Produto B,35.0,5
2025-04-13,Sunday,Produto C,50.0,10
2025-04-13,Sunday,Produto D,15.0,12
2025-04-14,Monday,Produto A,20.0,4
2025-04-14,Monday,Produto B,35.0,4
2025-04-14,Monday,Produto C,50.0,4
2025-04-14,Monday,Produto D,15.0,8
2025-04-15,Tuesday,Produto A,20.0,5
2025-04-15,Tuesday,Produto B,35.0,7
2025-04-15,Tuesday,Produto C,50.0,8
2025-04-15,Tuesday,Produto D,15.0,7
2025-04-16,Wednesday,Produto A,20.0,5
2025-04-16,Wednesday,Produto B,35.0,8
2025-04-16,Wednesday,Produto C,50.0,4
2025-04-16,Wednesday,Produto D,15.0,6
2025-04-17,Thursday,Produto A,20.0,8
2025-04-17,Thursday,Produto B,35.0,6
2025-04-17,Thursday,Produto C,50.0,3
2025-04-17,Thursday,Produto D,15.0,8
2025-04-18,Friday,Produto A,20.0,4
2025-04-18,Friday,Produto B,35.0,7
2025-04-18,Friday,Produto C,50.0,2
2025-04-18,Friday,Produto D,15.0,10
2025-04-19,Saturday,Produto A,20.0,9
2025-04-19,Saturday,Produto B,35.0,14
2025-04-19,Saturday,Produto C,50.0,5
2025-04-19,Saturday,Produto D,15.0,15
2025-04-20,Sunday,Produto A,20.0,14
2025-04-20,Sunday,Produto B,35.0,15
2025-04-20,Sunday,Produto C,50.0,13
2025-04-20,Sunday,Produto D,15.0,8
2025-04-21,Monday,Produto A,20.0,5
2025-04-21,Monday,Produto B,35.0,1
2025-04-21,Monday,Produto C,50.0,5
2025-04-21,Monday,Produto D,15.0,6
2025-04-22,Tuesday,Produto A,20.0,3
2025-04-22,Tuesday,Produto B,35.0,7
2025-04-22,Tuesday,Produto C,50.0,7
2025-04-22,Tuesday,Produto D,15.0,8
2025-04-23,Wednesday,Produto A,20.0,4
2025-04-23,Wednesday,Produto B,35.0,7
2025-04-23,Wednesday,Produto C,50.0,3
2025-04-23,Wednesday,Produto D,15.0,4
2025-04-24,Thursday,Produto A,20.0,4
2025-04-24,Thursday,Produto B,35.0,0
2025-04-24,Thursday,Produto C,50.0,1
2025-04-24,Thursday,Produto D,15.0,1
2025-04-25,Friday,Produto A,20.0,7
2025-04-25,Friday,Produto B,35.0,5
2025-04-25,Friday,Produto C,50.0,5
2025-04-25,Friday,Produto D,15.0,8
2025-04-26,Saturday,Produto A,20.0,11
2025-04-26,Saturday,Produto B,35.0,7
2025-04-26,Saturday,Produto C,50.0,11
2025-04-26,Saturday,Produto D,15.0,5
2025-04-27,Sunday,Produto A,20.0,10
2025-04-27,Sunday,Produto B,35.0,6
2025-04-27,Sunday,Produto C,50.0,13
2025-04-27,Sunday,Produto D,15.0,4
2025-04-28,Monday,Produto A,20.0,5
2025-04-28,Monday,Produto B,35.0,7
2025-04-28,Monday,Produto C,50.0,2
2025-04-28,Monday,Produto D,15.0,4
2025-04-29,Tuesday,Produto A,20.0,6
2025-04-29,Tuesday,Produto B,35.0,7
2025-04-29,Tuesday,Produto C,50.0,9
2025-04-29,Tuesday,Produto D,15.0,4
2025-04-30,Wednesday,Produto A,20.0,1
2025-04-30,Wednesday,Produto B,35.0,4
2025-04-30,Wednesday,Produto C,50.0,6
2025-04-30,Wednesday,Produto D,15.0,3
2025-05-01,Thursday,Produto A,20.0,4
2025-05-01,Thursday,Produto B,35.0,2
2025-05-01,Thursday,Produto C,50.0,6
2025-05-01,Thursday,Produto D,15.0,8
2025-05-02,Friday,Produto A,20.0,7
2025-05-02,Friday,Produto B,35.0,2
2025-05-02,Friday,Produto C,50.0,6
2025-05-02,Friday,Produto D,15.0,9
2025-05-03,Saturday,Produto A,20.0,9
2025-05-03,Saturday,Produto B,35.0,10
2025-05-03,Saturday,Produto C,50.0,15
2025-05-03,Saturday,Produto D,15.0,10
2025-05-04,Sunday,Produto A,20.0,6
2025-05-04,Sunday,Produto B,35.0,6
2025-05-04,Sunday,Produto C,50.0,8
2025-05-04,Sunday,Produto D,15.0,16
2025-05-05,Monday,Produto A,20.0,7
2025-05-05,Monday,Produto B,35.0,10
2025-05-05,Monday,Produto C,50.0,5
2025-05-05,Monday,Produto D,15.0,6
2025-05-06,Tuesday,Produto A,20.0,2
2025-05-06,Tuesday,Produto B,35.0,5
2025-05-06,Tuesday,Produto C,50.0,3
2025-05-06,Tuesday,Produto D,15.0,4
2025-05-07,Wednesday,Produto A,20.0,10
2025-05-07,Wednesday,Produto B,35.0,3
2025-05-07,Wednesday,Produto C,50.0,2
2025-05-07,Wednesday,Produto D,15.0,6
2025-05-08,Thursday,Produto A,20.0,4
2025-05-08,Thursday,Produto B,35.0,4
2025-05-08,Thursday,Produto C,50.0,8
2025-05-08,Thursday,Produto D,15.0,5
2025-05-09,Friday,Produto A,20.0,4
2025-05-09,Friday,Produto B,35.0,7
2025-05-09,Friday,Produto C,50.0,4
2025-05-09,Friday,Produto D,15.0,2
2025-05-10,Saturday,Produto A,20.0,10
2025-05-10,Saturday,Produto B,35.0,8
2025-05-10,Saturday,Produto C,50.0,12
2025-05-10,Saturday,Produto D,15.0,5
2025-05-11,Sunday,Produto A,20.0,8
2025-05-11,Sunday,Produto B,35.0,8
2025-05-11,Sunday,Produto C,50.0,15
2025-05-11,Sunday,Produto D,15.0,15
2025-05-12,Monday,Produto A,20.0,6
2025-05-12,Monday,Produto B,35.0,0
2025-05-12,Monday,Produto C,50.0,8
2025-05-12,Monday,Produto D,15.0,5
2025-05-13,Tuesday,Produto A,20.0,4
2025-05-13,Tuesday,Produto B,35.0,5
2025-05-13,Tuesday,Produto C,50.0,7
2025-05-13,Tuesday,Produto D,15.0,6
2025-05-14,Wednesday,Produto A,20.0,3
2025-05-14,Wednesday,Produto B,35.0,4
2025-05-14,Wednesday,Produto C,50.0,2
2025-05-14,Wednesday,Produto D,15.0,4
2025-05-15,Thursday,Produto A,20.0,1
2025-05-15,Thursday,Produto B,35.0,9
2025-05-15,Thursday,Produto C,50.0,3
2025-05-15,Thursday,Produto D,15.0,1
2025-05-16,Friday,Produto A,20.0,5
2025-05-16,Friday,Produto B,35.0,4
2025-05-16,Friday,Produto C,50.0,6
2025-05-16,Friday,Produto D,15.0,5
2025-05-17,Saturday,Produto A,20.0,4
2025-05-17,Saturday,Produto B,35.0,7
2025-05-17,Saturday,Produto C,50.0,6
2025-05-17,Saturday,Produto D,15.0,13
2025-05-18,Sunday,Produto A,20.0,11
2025-05-18,Sunday,Produto B,35.0,12
2025-05-18,Sunday,Produto C,50.0,8
2025-05-18,Sunday,Produto D,15.0,4
2025-05-19,Monday,Produto A,20.0,1
2025-05-19,Monday,Produto B,35.0,5
2025-05-19,Monday,Produto C,50.0,4
2025-05-19,Monday,Produto D,15.0,3
2025-05-20,Tuesday,Produto A,20.0,2
2025-05-20,Tuesday,Produto B,35.0,12
2025-05-20,Tuesday,Produto C,50.0,5
2025-05-20,Tuesday,Produto D,15.0,10
2025-05-21,Wednesday,Produto A,20.0,6
2025-05-21,Wednesday,Produto B,35.0,1
2025-05-21,Wednesday,Produto C,50.0,6
2025-05-21,Wednesday,Produto D,15.0,2
2025-05-22,Thursday,Produto A,20.0,4
2025-05-22,Thursday,Produto B,35.0,5
2025-05-22,Thursday,Produto C,50.0,8
2025-05-22,Thursday,Produto D,15.0,4
2025-05-23,Friday,Produto A,20.0,2
2025-05-23,Friday,Produto B,35.0,1
2025-05-23,Friday,Produto C,50.0,8
2025-05-23,Friday,Produto D,15.0,8
2025-05-24,Saturday,Produto A,20.0,11
2025-05-24,Saturday,Produto B,35.0,8
2025-05-24,Saturday,Produto C,50.0,7
2025-05-24,Saturday,Produto D,15.0,10
2025-05-25,Sunday,Produto A,20.0,8
2025-05-25,Sunday,Produto B,35.0,13
2025-05-25,Sunday,Produto C,50.0,10
2025-05-25,Sunday,Produto D,15.0,9
2025-05-26,Monday,Produto A,20.0,2
2025-05-26,Monday,Produto B,35.0,4
2025-05-26,Monday,Produto C,50.0,3
2025-05-26,Monday,Produto D,15.0,8
2025-05-27,Tuesday,Produto A,20.0,9
2025-05-27,Tuesday,Produto B,35.0,4
2025-05-27,Tuesday,Produto C,50.0,4
2025-05-27,Tuesday,Produto D,15.0,5
2025-05-28,Wednesday,Produto A,20.0,11
2025-05-28,Wednesday,Produto B,35.0,8
2025-05-28,Wednesday,Produto C,50.0,6
2025-05-28,Wednesday,Produto D,15.0,2
2025-05-29,Thursday,Produto A,20.0,8
2025-05-29,Thursday,Produto B,35.0,7
2025-05-29,Thursday,Produto C,50.0,6
2025-05-29,Thursday,Produto D,15.0,5
2025-05-30,Friday,Produto A,20.0,3
2025-05-30,Friday,Produto B,35.0,5
2025-05-30,Friday,Produto C,50.0,3
2025-05-30,Friday,Produto D,15.0,3
2025-05-31,Saturday,Produto A,20.0,12
2025-05-31,Saturday,Produto B,35.0,7
2025-05-31,Saturday,Produto C,50.0,12
2025-05-31,Saturday,Produto D,15.0,8
2025-06-01,Sunday,Produto A,20.0,4
2025-06-01,Sunday,Produto B,35.0,5
